Way Bill No,Waybill Date,Booking Branch,Collection At,Delivery at,,,Via location,Consigner Name,Consignee Name,,Pay Mode,Package Type,,Said to Contain,Invoice No,Value,No of PKGs,Actual Wt,Charge Wt.,Freight,Billing Party,Billing Location,TUR No,TUR Date,GDM No,LHS No,Remark,Special Remark
2753538,10/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,RELIANCE RETAIL LIMITED PUNE,,TBB,Cartons,,E GOODS,BHIIN0000058,388698,44,622,633,6041.4,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007140,16BHD1703137,,
2753539,10/04/2020,BHIWANDI,BHIWANDI      ,PUNE,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,ROHITS SUPPLY AND LOGISTICS,,TBB,Cartons,,E GOODS,BHIIN0000063,483682,113,1033,1116,10095.36,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007140,16BHD1703137,,
2753540,21/04/2020,BHIWANDI,BHIWANDI      ,NASHIK,,,NASHIK,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH & CARRY INDIA PVT LTD NASHIK,,TBB,Cartons,,ELECTRONIC GOODS,BHIIN0000155,4631,1,13,14,709.26,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007155,16BHD1703146,,
2753541,21/04/2020,BHIWANDI,BHIWANDI      ,NASHIK,,,NASHIK,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH & CARRY INDIA PVT LTD NASHIK,,TBB,Cartons,,ELECTRONIC GOODS,BHIIN0000164,2655,2,31,33,469.31,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007155,16BHD1703146,,
2753542,21/04/2020,BHIWANDI,BHIWANDI      ,NASHIK,,,NASHIK,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH & CARRY INDIA PVT LTD NASHIK,,TBB,Cartons,,ELECTRONIC GOODS,BHIIN0000162,66638,5,76,81,981.28,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007155,16BHD1703146,,
2753543,21/04/2020,BHIWANDI,BHIWANDI      ,NASHIK,,,NASHIK,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,METRO CASH & CARRY INDIA PVT LTD NASHIK,,TBB,Cartons,,ELECTRONIC GOODS,BHIIN0000154,345412,35,494,529,5122.82,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007155,16BHD1703146,,
2753544,21/04/2020,BHIWANDI,BHIWANDI      ,NASHIK,,,NASHIK,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,TRUPTI ENTERPRISES,,TBB,Cartons,,ELECTRONIC GOODS,BHIIN0000167,22026,2,29,31,492.05,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007155,16BHD1703146,,
2753545,21/04/2020,BHIWANDI,BHIWANDI      ,NASHIK,,,NASHIK,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,J K & SONS NASHIK,,TBB,Cartons,,ELECTRONIC GOODS,BHIIN0000116,26613,11,161,162,1549.23,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007155,16BHD1703146,,
2753546,21/04/2020,BHIWANDI,BHIWANDI      ,NASHIK,,,NASHIK,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,J K & SONS NASHIK,,TBB,Cartons,,ELECTRONIC GOODS,BHIIN0000132,42575,3,46,49,677.15,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007155,16BHD1703146,,
2753547,21/04/2020,BHIWANDI,BHIWANDI      ,NASHIK,,,NASHIK,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,J K & SONS NASHIK,,TBB,Cartons,,ELECTRONIC GOODS,BHIIN0000161,153743,10,152,164,1819.49,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007155,16BHD1703146,,
